Player,Goals,Assists,Hits,Takeaways,PIMDrawn,Season
Auston Matthews,69,38,89,85,36,2023-2024
Sam Reinhart,57,37,78,40,25,2023-2024
Zach Hyman,54,23,87,35,42,2023-2024
Nathan MacKinnon,51,89,55,42,66,2023-2024
Artemi Panarin,49,71,18,34,44,2023-2024
Filip Forsberg,48,46,141,76,63,2023-2024
David Pastrnak,47,63,70,54,56,2023-2024
Brayden Point,46,44,16,36,14,2023-2024
Kirill Kaprizov,46,50,55,38,48,2023-2024
Nikita Kucherov,44,100,45,62,44,2023-2024
Connor McDavid,64,89,89,82,86,2022-2023
David Pastrnak,61,52,91,52,56,2022-2023
Mikko Rantanen,55,50,77,61,62,2022-2023
Leon Draisaitl,52,76,66,77,44,2022-2023
Brayden Point,51,44,37,51,41,2022-2023
Tage Thompson,47,47,55,43,53,2022-2023
Jason Robertson,46,63,57,62,24,2022-2023
Jack Hughes,43,56,12,60,42,2022-2023
Alex Ovechkin,42,33,188,31,18,2022-2023
Mark Scheifele,42,26,50,61,57,2022-2023
Auston Matthews,60,46,67,92,26,2021-2022
Leon Draisaitl,55,55,53,74,56,2021-2022
Chris Kreider,52,25,141,27,14,2021-2022
Alex Ovechkin,50,40,155,32,22,2021-2022
Kiril Kaprizov,47,61,73,57,82,2021-2022
Kyle Connor,47,46,32,66,12,2021-2022
Connor McDavid,44,79,75,73,104,2021-2022
Matt Duchene,43,43,31,31,36,2021-2022
Steven Stamkos,42,64,93,30,20,2021-2022
Elias Lindholm,42,40,66,55,28,2021-2022
Auston Matthews,41,25,57,47,28,2020-2021
Connor McDavid,33,72,61,36,54,2020-2021
Alex DeBrincat,32,24,70,31,34,2020-2021
Leon Draisaitl,31,53,37,56,24,2020-2021
Mikko Rantanen,30,36,26,32,38,2020-2021
Brad Marchand,29,40,66,42,36,2020-2021
Tyler Toffoli,28,16,75,25,14,2020-2021
Kiril Kaprizov,27,24,29,27,48,2020-2021
Kyle Connor,26,23,18,37,18,2020-2021
Aleksander Barkov,26,32,31,38,34,2020-2021
Alex Ovechkin,48,19,184,28,26,2019-2020
David Pastrnak,48,47,47,49,46,2019-2020
Auston Matthews,47,33,40,78,28,2019-2020
Leon Draisaitl,43,66,27,60,40,2019-2020
Mika Zibanejad,41,33,51,42,44,2019-2020
Sebastian Aho,38,26,55,71,30,2019-2020
Kyle Connor,38,35,18,43,22,2019-2020
Nathan MacKinnon,36,57,51,38,46,2019-2020
Jack Eichel,36,43,40,44,68,2019-2020
Connor McDavid,34,63,37,53,48,2019-2020
